"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-22T17:46:21Z"
"Version","20250522174621"
"OfferCode","ElasticMapReduce"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Instance Family","usageType","operation","Compute","ComputeProvider","MeterUnit","Region Code","serviceName","Software Type"
"3FHXAP2URPCBUXJQ","JRTCKXETXF","3FHXAP2URPCBUXJQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.035 per hour for EMR m3.large with M5","2025-05-01","0","Inf","Hrs","0.0350000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","m3.large","General purpose","M5BoxUsage:m3.large","",,,,"us-east-1","Amazon Elastic MapReduce","MapR-M5"
"3HAS48H3WMSRP8SU","JRTCKXETXF","3HAS48H3WMSRP8SU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.192 per hour for EMR m5.4xlarge","2025-05-01","0","Inf","Hrs","0.1920000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","m5.4xlarge","General purpose","BoxUsage:m5.4xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"3HQU3KDNTCW837AH","JRTCKXETXF","3HQU3KDNTCW837AH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.27 per hour for EMR r5dn.16xlarge","2025-05-01","0","Inf","Hrs","0.2700000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","r5dn.16xlarge","Memory optimized","BoxUsage:r5dn.16xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"3KG2MK59SMAARZYA","JRTCKXETXF","3KG2MK59SMAARZYA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03 per hour for EMR c1.medium with M3","2025-05-01","0","Inf","Hrs","0.0300000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","c1.medium","Compute optimized","M3BoxUsage:c1.medium","",,,,"us-east-1","Amazon Elastic MapReduce","MapR-M3"
"3KR2REFZ4UQUPRY4","JRTCKXETXF","3KR2REFZ4UQUPRY4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0432 per hour for EMR m6a.xlarge","2025-05-01","0","Inf","Hrs","0.0432000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","m6a.xlarge","General purpose","BoxUsage:m6a.xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"3MN9MCAB6A7KYG7H","JRTCKXETXF","3MN9MCAB6A7KYG7H.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.27 per hour for EMR m5zn.12xlarge","2025-05-01","0","Inf","Hrs","0.2700000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","m5zn.12xlarge","General purpose","BoxUsage:m5zn.12xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"3NDDZCFZJFU3SGYY","JRTCKXETXF","3NDDZCFZJFU3SGYY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.02 per hour for EMR hi1.4xlarge with Hunk","2025-05-01","0","Inf","Hrs","1.0200000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","hi1.4xlarge","Storage optimized","HunkBoxUsage:hi1.4xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","Hunk"
"3NU334Z44Z44GJUU","JRTCKXETXF","3NU334Z44Z44GJUU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.459 per hour for EMR i2.4xlarge with M5","2025-05-01","0","Inf","Hrs","0.4590000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","i2.4xlarge","Storage optimized","M5BoxUsage:i2.4xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","MapR-M5"
"3T6EJRKNB5F2UVCK","JRTCKXETXF","3T6EJRKNB5F2UVCK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.136 per hour for EMR m5dn.2xlarge","2025-05-01","0","Inf","Hrs","0.1360000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","m5dn.2xlarge","General purpose","BoxUsage:m5dn.2xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"3W5GT2RSYQ3A3A87","JRTCKXETXF","3W5GT2RSYQ3A3A87.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.164 per hour for EMR m1.large with Karma","2025-05-01","0","Inf","Hrs","0.1640000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","m1.large","General purpose","KarmaBoxUsage:m1.large","",,,,"us-east-1","Amazon Elastic MapReduce","Karmasphere"
"3WPQAJAJECMARH36","JRTCKXETXF","3WPQAJAJECMARH36.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.27 per hour for EMR r5b.12xlarge","2025-05-01","0","Inf","Hrs","0.2700000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","r5b.12xlarge","Memory optimized","BoxUsage:r5b.12xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
