"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-14T17:46:14Z"
"Version","20250514174614"
"OfferCode","awswaf"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","Region Code","serviceName"
"JGH3VFMTQFNJUV5W","JRTCKXETXF","JGH3VFMTQFNJUV5W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.00 per rule created (prorated hourly)","2025-05-01","0","Inf","Month","1.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Rule","Rule Activated","USE1-RuleV2","","us-east-1","AWS WAF"
"JKAZVZAW552H6TPW","JRTCKXETXF","JKAZVZAW552H6TPW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.90 per million requests processed (64KB)","2025-05-01","0","Inf","Request","0.0000009000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request","Requests Processed 64KB","USE1-RequestV2-64KB","","us-east-1","AWS WAF"
"JMUWMBR8YZ64C5EM","JRTCKXETXF","JMUWMBR8YZ64C5EM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0 per web ACL created (Shield Protected)","2025-05-01","0","Inf","Month","0.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Web ACL (Shield Protected)","Web ACL Activated (Shield Protected)","USE1-ShieldProtected-WebACLV2","","us-east-1","AWS WAF"
"KF2QAJUBXF7XNYSM","JRTCKXETXF","KF2QAJUBXF7XNYSM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.00 per web ACL created (prorated hourly)","2025-05-01","0","Inf","Month","5.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Web ACL","Web ACL Activated","USE1-WebACLV2","","us-east-1","AWS WAF"
"KRH6UG8KC9PXQBCT","JRTCKXETXF","KRH6UG8KC9PXQBCT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.30 per million requests processed (32KB, Shield)","2025-05-01","0","Inf","Request","0.0000003000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request (Shield Protected)","Requests Processed 32KB (Shield Protected)","USE1-ShieldProtected-RequestV2-32KB","","us-east-1","AWS WAF"
"KYZJHNBS4PCEH8A3","JRTCKXETXF","KYZJHNBS4PCEH8A3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.90 per million requests processed (64KB, Shield)","2025-05-01","0","Inf","Request","0.0000009000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request (Shield Protected)","Requests Processed 64KB (Shield Protected)","USE1-ShieldProtected-RequestV2-64KB","","us-east-1","AWS WAF"
"M2JHJ7Q6KSNPVF5P","JRTCKXETXF","M2JHJ7Q6KSNPVF5P.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.80 per million requests processed (Shield Protected)","2025-05-01","0","Inf","Request","0.0000008000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request (Shield Protected)","Request Processed Tier5 3500WCU (Shield Protected)","USE1-ShieldProtected-RequestV2-Tier5-3500WCU","","us-east-1","AWS WAF"
"MMK6882R53ZPMBQG","JRTCKXETXF","MMK6882R53ZPMBQG.JRTCKXETXF.6YS6EN2CT7","OnDemand","Price per Rule","2025-05-01","0","Inf","month","1.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Rule","Number of Rules added per Web Access Control Lists","USE1-Rule","","us-east-1","AWS WAF"
"MNHJBKE8Q4PYM587","JRTCKXETXF","MNHJBKE8Q4PYM587.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.80 per million requests processed","2025-05-01","0","Inf","Request","0.0000018000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request","Request Processed Tier7 4500WCU","USE1-RequestV2-Tier7-4500WCU","","us-east-1","AWS WAF"
"MVMTRWTQU95KQ5Z6","JRTCKXETXF","MVMTRWTQU95KQ5Z6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.60 per million requests processed (48KB, Shield)","2025-05-01","0","Inf","Request","0.0000006000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request (Shield Protected)","Requests Processed 48KB (Shield Protected)","USE1-ShieldProtected-RequestV2-48KB","","us-east-1","AWS WAF"
