"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-21T15:09:03Z"
"Version","20250521150903"
"OfferCode","AmazonBedrock"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Architecture","Architecture Name","Custom Model Unit Version","Feature","Feature Type","Inference Type","Model","Model Unit","Policy Type","Provider","Region Code","serviceName","Titan Model","Titan Model Unit"
"677P43ECBK7EX84B","JRTCKXETXF","677P43ECBK7EX84B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per image for TitanImageGeneratorG1-Custom-I2I-512-Premium in US East (N. Virginia)","2025-05-01","0","Inf","image","0.0200000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-TitanImageGeneratorG1-Custom-I2I-512-Premium","",,,,"On-demand Inference",,"Custom I2I 512 Premium",,,,,"us-east-1","Amazon Bedrock","Titan Image Generator G1",
"686NY5F27MB35EM3","JRTCKXETXF","686NY5F27MB35EM3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00010 per 1K output tokens for Llama 3.2 1B in US East (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0001000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-Llama3-2-1B-output-tokens","",,,,"On-demand Inference",,"Output tokens","Llama 3.2 1B",,,"Meta","us-east-1","Amazon Bedrock",,
"6FVZT3BBCSHTHQND","JRTCKXETXF","6FVZT3BBCSHTHQND.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.0004 per 1K tokens for Nova Pro-input-tokens in us-east-1 (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0004000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-NovaPro-input-tokens-batch","",,,,"Batch Inference",,"Input tokens","Nova Pro",,,,"us-east-1","Amazon Bedrock",,
"6QAAYR5SSN69NABR","JRTCKXETXF","6QAAYR5SSN69NABR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0125 per 1K tokens for USE1-NovaPremier-output-tokens in US East (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0125000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-NovaPremier-output-tokens","",,,,"On-demand Inference",,"Output tokens","Nova Premier",,,,"us-east-1","Amazon Bedrock",,
"74YW8TWMEA8CVWZU","JRTCKXETXF","74YW8TWMEA8CVWZU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0002 per Images Processed for TitanEmbeddingsG1-Image-Customization-Training in US East (N. Virginia)","2025-05-01","0","Inf","Images Processed","0.0002000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-TitanEmbeddingsG1-Image-Customization-Training","",,,,"Model Customization","Training",,,,,,"us-east-1","Amazon Bedrock","Titan Embeddings G1 Image",
"7AXPU3F2NR7WWBB9","JRTCKXETXF","7AXPU3F2NR7WWBB9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000485 per 1K output tokens for Llama 4 Maverick 17B in US East (N. Virginia) for Batch","2025-05-01","0","Inf","1K tokens","0.0004850000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-Llama4-Maverick-17B-output-tokens-batch","",,,,"Batch Inference",,"Output tokens","Llama 4 Maverick 17B",,,"Meta","us-east-1","Amazon Bedrock",,
"7D5H69X2QZPUPJA9","JRTCKXETXF","7D5H69X2QZPUPJA9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$98.32 per hour for USE1-NovaCanvas-ProvisionedThroughput-1month-ModelUnits in US East (N. Virginia)","2025-05-01","0","Inf","hour","98.3200000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-NovaCanvas-ProvisionedThroughput-1month-ModelUnits","",,,,"Provisioned Throughput Inference - 1 month",,,"Nova Canvas","Nova Canvas",,,"us-east-1","Amazon Bedrock",,
"7PTCQERQUH6EW2B2","JRTCKXETXF","7PTCQERQUH6EW2B2.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.06 USD of Nova Canvas in us-east-1","2025-05-01","0","Inf","image","0.0600000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-NovaCanvas-I2I-1024-Premium","",,,,"On-demand Inference",,"I2I 1024 Premium","Nova Canvas",,,,"us-east-1","Amazon Bedrock",,
"7U7WECVTAPZQ4D3C","JRTCKXETXF","7U7WECVTAPZQ4D3C.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per image for TitanImageGeneratorV2-I2I-1024-Standard in US East (N. Virginia)","2025-05-01","0","Inf","image","0.0100000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-TitanImageGeneratorV2-I2I-1024-Standard","",,,,"On-demand Inference",,"I2I 1024 Standard",,,,,"us-east-1","Amazon Bedrock","Titan Image Generator V2",
"7UXNBRYQS699PKVW","JRTCKXETXF","7UXNBRYQS699PKVW.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.06 USD of Nova Canvas in us-east-1","2025-05-01","0","Inf","image","0.0600000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-NovaCanvas-T2I-2048-Standard","",,,,"On-demand Inference",,"T2I 2048 Standard","Nova Canvas",,,,"us-east-1","Amazon Bedrock",,
