"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-21T03:35:43Z"
"Version","20250521033543"
"OfferCode","AmazonVPC"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Endpoint Type","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Attachment Type","From Region Code","Region Code","serviceName","To Region Code"
"NYTF84WY2A8AHZZC","JRTCKXETXF","NYTF84WY2A8AHZZC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.006 per GB for data processed by VPC resource in US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0060000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"VpcResources","Per GB charge for provider of VPC Resource",,,,,,"USE1-VpcResource-Provider-Bytes","VpcResourceProvider",,,"us-east-1","Amazon Virtual Private Cloud",
"PGNDUBPKV98PF5TB","JRTCKXETXF","PGNDUBPKV98PF5TB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per hour for TransitGateway-Hours:TransitGatewayPeering in US East (N. Virginia)","2025-05-01","0","Inf","hour","0.0500000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSTransitGateway","Hourly charge for Transit Gateway Peering Attachments",,,,,,"USE1-TransitGateway-Hours","TransitGatewayPeering","Transit Gateway",,"us-east-1","Amazon Virtual Private Cloud",
"QCP92DSX72Q3CE8J","JRTCKXETXF","QCP92DSX72Q3CE8J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GigaBytes for TGW-Multicast-Consumer-Bytes:TransitGatewayVPC in US East (N. Virginia)","2025-05-01","0","Inf","GigaBytes","0.0200000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSTransitGateway","Charge for per GB data processed by AWS Transit Gateway for Multicast receivers",,,,,,"USE1-TGW-Multicast-Consumer-Bytes","TransitGatewayVPC","VPC",,"us-east-1","Amazon Virtual Private Cloud",
"T6YDQKTMVWKNJFJ8","JRTCKXETXF","T6YDQKTMVWKNJFJ8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.005 per Idle public IPv4 address per hour","2025-05-01","0","Inf","Hrs","0.0050000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"VPCPublicIPv4Address","Hourly charge for Idle Public IPv4 Addresses",,,,,,"USE1-PublicIPv4:IdleAddress","",,,"us-east-1","Amazon Virtual Private Cloud",
"WJVJ7M2CHEBD98JZ","JRTCKXETXF","WJVJ7M2CHEBD98JZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Charge for per GB data processed by AWS Gateway Load Balancer VPC Endpoint","2025-05-01","0","Inf","GB","0.0035000000","USD","VpcEndpoint","AmazonVPC","US East (N. Virginia)","AWS Region","Gateway Load Balancer Endpoint","VPCE:VpcEndpoint","Charge for per GB data processed by AWS Gateway Load Balancer VPC Endpoint",,,,,,"USE1-VpcEndpoint-GWLBE-Bytes","VpcEndpoint",,,"us-east-1","Amazon Virtual Private Cloud",
"YGVQQQ3WT9VAX47N","JRTCKXETXF","YGVQQQ3WT9VAX47N.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB Data Processed by Transit Gateway DirectConnect Attachment","2025-05-01","0","Inf","GigaBytes","0.0200000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSTransitGateway","Charge for per GB data processed by AWS Transit Gateways for AWS Direct Connect Gateway attachments",,,,,,"USE1-TransitGateway-Bytes","TransitGatewayDirectConnect","AWS DirectConnect",,"us-east-1","Amazon Virtual Private Cloud",
"YJ3BCMKN6N4V4VX3","JRTCKXETXF","YJ3BCMKN6N4V4VX3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.025 per Hour per VPC Lattice Service (N. Virginia)","2025-05-01","0","Inf","Hrs","0.0250000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"VpcLattice","Charge per Hour per VPC Lattice Service",,,,,,"USE1-VPCLattice-Service-Hourly","VpcLattice",,,"us-east-1","Amazon Virtual Private Cloud",
"Z2ZYE9BNTKZB3ZQ8","JRTCKXETXF","Z2ZYE9BNTKZB3ZQ8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per Traffic Mirroring Source Hour","2025-05-01","0","Inf","hour","0.0150000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSTrafficMirroring","Hourly charge for Traffic Mirroring Source",,,,,,"USE1-ENI-Mirror","ENI-to-ENI",,,"us-east-1","Amazon Virtual Private Cloud",
"ZG7JTGZ4S7E5N26T","JRTCKXETXF","ZG7JTGZ4S7E5N26T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per hour per active remote region for a VPCE service","2025-05-01","0","Inf","Hrs","0.0500000000","USD","VpcEndpoint","AmazonVPC","US East (N. Virginia)","AWS Region","Endpoint Service","VPCE:VPCEnpoint","Charge per hour per active remote region for a VPCE service",,,,,,"USE1-VpcEndpoint-Service-Hours","VpcEndpoint",,,"us-east-1","Amazon Virtual Private Cloud",
"ZRFZCHNHEEPEHEJY","JRTCKXETXF","ZRFZCHNHEEPEHEJY.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.20 per hours for VerifiedAccess-non-HTTP-App-Hours:VerifiedAccess-NonHTTP-Apps in US East (N. Virginia)","2025-05-01","0","Inf","hours","0.2000000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSVerifiedAccess","Hourly charge for non-HTTP Verified Access endpoints",,,,,,"USE1-VerifiedAccess-non-HTTP-App-Hours","VerifiedAccess-NonHTTP-Apps",,,"us-east-1","Amazon Virtual Private Cloud",
