"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-16T23:51:21Z"
"Version","20250416235121"
"OfferCode","AWSEndUserMessaging3pFees"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Conversation Type","ISO","Message Fee","Message Type","Region Code","serviceName"
"2ZSDUU2TR9F328B2","JRTCKXETXF","2ZSDUU2TR9F328B2.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Timor-Leste using Utility template","2025-04-01","0","Inf","Messages","0.0077000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-TL-ConversationFee-Utility","","Utility","TL","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2ZVDZZUQ78CYCYGG","JRTCKXETXF","2ZVDZZUQ78CYCYGG.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Nicaragua using Service template","2025-04-01","0","Inf","Messages","0.0000000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-NI-ConversationFee-Service","","Service","NI","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2ZXGZJS43GFT7MZ8","JRTCKXETXF","2ZXGZJS43GFT7MZ8.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Guinea-Bissau using Marketing template","2025-04-01","0","Inf","Messages","0.0225000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-GW-ConversationFee-Marketing","","Marketing","GW","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"33AFJB3UXK8V3HWF","JRTCKXETXF","33AFJB3UXK8V3HWF.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Western Sahara using Marketing template","2025-04-01","0","Inf","Messages","0.0604000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-EH-ConversationFee-Marketing","","Marketing","EH","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"33RKF877E3QTZ6AM","JRTCKXETXF","33RKF877E3QTZ6AM.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Sweden using Marketing template","2025-04-01","0","Inf","Messages","0.0592000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-SE-ConversationFee-Marketing","","Marketing","SE","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"34ZA9GABBYEB4H7C","JRTCKXETXF","34ZA9GABBYEB4H7C.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Portugal using Service template","2025-04-01","0","Inf","Messages","0.0000000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-PT-ConversationFee-Service","","Service","PT","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"36VA8A69GWYSKMFK","JRTCKXETXF","36VA8A69GWYSKMFK.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Andorra using Utility template","2025-04-01","0","Inf","Messages","0.0077000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-AD-ConversationFee-Utility","","Utility","AD","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"374759929XWTD8RU","JRTCKXETXF","374759929XWTD8RU.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Lebanon using Authentication template","2025-04-01","0","Inf","Messages","0.0178000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-LB-ConversationFee-Authentication","","Authentication","LB","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"375CPY4N4SM54PHY","JRTCKXETXF","375CPY4N4SM54PHY.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Bhutan using Authentication template","2025-04-01","0","Inf","Messages","0.0304000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-BT-ConversationFee-Authentication","","Authentication","BT","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"37R8DWT2G8SP7V6Y","JRTCKXETXF","37R8DWT2G8SP7V6Y.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Martinique using Utility template","2025-04-01","0","Inf","Messages","0.0077000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-MQ-ConversationFee-Utility","","Utility","MQ","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"37VYTCBHP5BRMFDV","JRTCKXETXF","37VYTCBHP5BRMFDV.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Algeria using Authentication template","2025-04-01","0","Inf","Messages","0.0144000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-DZ-ConversationFee-Authentication","","Authentication","DZ","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"389DZ9QXDRQQZDAG","JRTCKXETXF","389DZ9QXDRQQZDAG.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Croatia using Utility template","2025-04-01","0","Inf","Messages","0.0353000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-HR-ConversationFee-Utility","","Utility","HR","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"38U3B4K5R37ND85P","JRTCKXETXF","38U3B4K5R37ND85P.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Saint Vincent and Grenadines using Service template","2025-04-01","0","Inf","Messages","0.0000000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-VC-ConversationFee-Service","","Service","VC","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"397CXVBQGQGT48ZZ","JRTCKXETXF","397CXVBQGQGT48ZZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Mozambique using Authentication template","2025-04-01","0","Inf","Messages","0.0144000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-MZ-ConversationFee-Authentication","","Authentication","MZ","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"3B2PD696CB8WFMEM","JRTCKXETXF","3B2PD696CB8WFMEM.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to United Kingdom using Service template","2025-04-01","0","Inf","Messages","0.0000000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-GB-ConversationFee-Service","","Service","GB","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"3BBKSGDAT25JE7ET","JRTCKXETXF","3BBKSGDAT25JE7ET.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Lao PDR using Authentication template","2025-04-01","0","Inf","Messages","0.0425000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-LA-ConversationFee-Authentication","","Authentication","LA","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"3BES6PDKYW5YZNP2","JRTCKXETXF","3BES6PDKYW5YZNP2.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Guam using Authentication template","2025-04-01","0","Inf","Messages","0.0304000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-GU-ConversationFee-Authentication","","Authentication","GU","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"3CVJS8U3RYRWNW6M","JRTCKXETXF","3CVJS8U3RYRWNW6M.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Macedonia using Utility template","2025-04-01","0","Inf","Messages","0.0353000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-MK-ConversationFee-Utility","","Utility","MK","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"3CZP5RW82QBZE5FZ","JRTCKXETXF","3CZP5RW82QBZE5FZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Turkey using Marketing template","2025-04-01","0","Inf","Messages","0.0109000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-TR-ConversationFee-Marketing","","Marketing","TR","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"3DFFB4XYTXYR9K9E","JRTCKXETXF","3DFFB4XYTXYR9K9E.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to El Salvador using Service template","2025-04-01","0","Inf","Messages","0.0000000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-SV-ConversationFee-Service","","Service","SV","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
