"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-01-09T22:17:59Z"
"Version","20250109221759"
"OfferCode","AWSB2Bi"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Input Format","Output Format","Region Code","serviceName","Type"
"2HZVZK59PUKC78RH","JRTCKXETXF","2HZVZK59PUKC78RH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-215 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-OutboundTranslations","XML:X12-215","Default XML","X12-215","us-east-1","AWS B2B Data Interchange",
"2JS7TBQV98HPW4WS","JRTCKXETXF","2JS7TBQV98HPW4WS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-101 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","JSON:X12-101","Default JSON (Large)","X12-101","us-east-1","AWS B2B Data Interchange",
"2JXMRVU44C8NM3MV","JRTCKXETXF","2JXMRVU44C8NM3MV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-146 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","XML:X12-146","Default XML (Large)","X12-146","us-east-1","AWS B2B Data Interchange",
"2KJK49AGHTKADXS4","JRTCKXETXF","2KJK49AGHTKADXS4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-836 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","XML:X12-836","Default XML (Large)","X12-836","us-east-1","AWS B2B Data Interchange",
"2KNTVYYUZ4XJTEFR","JRTCKXETXF","2KNTVYYUZ4XJTEFR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-325:JSON Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-InboundTranslations","X12-325:JSON","X12-325","Default JSON","us-east-1","AWS B2B Data Interchange",
"2MFCWVHVCE525ZCA","JRTCKXETXF","2MFCWVHVCE525ZCA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-180:JSON Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeInboundTranslations","X12-180:JSON","X12-180 (Large)","Default JSON","us-east-1","AWS B2B Data Interchange",
"2MH8QAWK8M8DK4SX","JRTCKXETXF","2MH8QAWK8M8DK4SX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-212 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","JSON:X12-212","Default JSON (Large)","X12-212","us-east-1","AWS B2B Data Interchange",
"2MMBM6KNR5J82WMU","JRTCKXETXF","2MMBM6KNR5J82WMU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:XML Mapping in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-InboundMappings","XML:XML","Default XML","Custom XML","us-east-1","AWS B2B Data Interchange",
"2MNEP3BRCJWDQ5DK","JRTCKXETXF","2MNEP3BRCJWDQ5DK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-998 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","JSON:X12-998","Default JSON (Large)","X12-998","us-east-1","AWS B2B Data Interchange",
"2MNKUR5EF3JNTBHY","JRTCKXETXF","2MNKUR5EF3JNTBHY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-132 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-OutboundTranslations","XML:X12-132","Default XML","X12-132","us-east-1","AWS B2B Data Interchange",
