"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-02-04T16:14:13Z"
"Version","20250204161413"
"OfferCode","AWSM2"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","usageType","operation","FreeTier","Product Name","Region Code","serviceName"
"4EEWKHQ8DMVRUTMH","JRTCKXETXF","4EEWKHQ8DMVRUTMH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.14/hour for EnterpriseDeveloper on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","2.1400000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","r5b.large","USE1-r5b.largeEnterpriseDeveloper","","Paid","Enterprise Developer","us-east-1","AWS Mainframe Modernization"
"4FPNQN9AQ6VYRDKJ","JRTCKXETXF","4FPNQN9AQ6VYRDKJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.96/hour for BluAgeRuntime on m5.8xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","4.9600000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m5.8xlarge","USE1-m5.8xlargeBluAgeRuntime","","Paid","Blu Age Runtime","us-east-1","AWS Mainframe Modernization"
"4GAQP98VM76FCAY8","JRTCKXETXF","4GAQP98VM76FCAY8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.31/hour for BluAgeRuntime-Custom on c6i.large in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.3100000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","c6i.large","USE1-c6i.largeBluAgeRuntime-Custom","","Paid","Blu Age Runtime Custom","us-east-1","AWS Mainframe Modernization"
"4GYHDKXRA4D4K4RC","JRTCKXETXF","4GYHDKXRA4D4K4RC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0/hour for BluAgeDeveloper on m5zn.large in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.0000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m5zn.large","USE1-m5zn.largeBluAgeDeveloper","","Paid","Blu Age Developer","us-east-1","AWS Mainframe Modernization"
"4H2VP5KJP5VMRBKF","JRTCKXETXF","4H2VP5KJP5VMRBKF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.31/hour for BluAgeRuntime-EC2Deployed on t3.small in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.3100000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","t3.small","USE1-t3.smallBluAgeRuntime-EC2Deployed","","Paid","Blu Age Runtime on EC2","us-east-1","AWS Mainframe Modernization"
"4JHNF4E8X3QGPVMZ","JRTCKXETXF","4JHNF4E8X3QGPVMZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0/hour for BluAgeDeveloper on t3.xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.0000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","t3.xlarge","USE1-t3.xlargeBluAgeDeveloper","","Paid","Blu Age Developer","us-east-1","AWS Mainframe Modernization"
"4QGXXEJG5ES7VKV8","JRTCKXETXF","4QGXXEJG5ES7VKV8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$11.1/hour for EnterpriseServer on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","11.1000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m6i.xlarge","USE1-m6i.xlargeEnterpriseServer","","Paid","Enterprise Server","us-east-1","AWS Mainframe Modernization"
"4TZ92K2MMW88SS7S","JRTCKXETXF","4TZ92K2MMW88SS7S.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.28/hour for EnterpriseDeveloper on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","4.2800000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","t3.xlarge","USE1-t3.xlargeEnterpriseDeveloper","","Paid","Enterprise Developer","us-east-1","AWS Mainframe Modernization"
"4WVFSCAV4XFR4MYS","JRTCKXETXF","4WVFSCAV4XFR4MYS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0/hour for BluAgeDeveloper on m6i.4xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.0000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m6i.4xlarge","USE1-m6i.4xlargeBluAgeDeveloper","","Paid","Blu Age Developer","us-east-1","AWS Mainframe Modernization"
"4XE2ZG97XBBZ27JU","JRTCKXETXF","4XE2ZG97XBBZ27JU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.48/hour for BluAgeRuntime on r6i.4xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","2.4800000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","r6i.4xlarge","USE1-r6i.4xlargeBluAgeRuntime","","Paid","Blu Age Runtime","us-east-1","AWS Mainframe Modernization"
"4Y4MQRXKWCJ3YY74","JRTCKXETXF","4Y4MQRXKWCJ3YY74.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.62/hour for BluAgeRuntime on r6i.xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.6200000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","r6i.xlarge","USE1-r6i.xlargeBluAgeRuntime","","Paid","Blu Age Runtime","us-east-1","AWS Mainframe Modernization"
"4YJVCJYZKYV6UC7J","JRTCKXETXF","4YJVCJYZKYV6UC7J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.31/hour for BluAgeRuntime-Custom on t3.small in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.3100000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","t3.small","USE1-t3.smallBluAgeRuntime-Custom","","Paid","Blu Age Runtime Custom","us-east-1","AWS Mainframe Modernization"
"53CQ2Q9B22EMT4AB","JRTCKXETXF","53CQ2Q9B22EMT4AB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$99.9/hour for EnterpriseServer on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","99.9000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","c5.9xlarge","USE1-c5.9xlargeEnterpriseServer","","Paid","Enterprise Server","us-east-1","AWS Mainframe Modernization"
"57BU9CBTPBQ4XMMA","JRTCKXETXF","57BU9CBTPBQ4XMMA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0/hour for EnterpriseDeveloper-Free on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.0000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m5zn.xlarge","USE1-m5zn.xlargeEnterpriseDeveloper-Free","","Free","Enterprise Developer","us-east-1","AWS Mainframe Modernization"
"5ATZS5XP3WMX3NDF","JRTCKXETXF","5ATZS5XP3WMX3NDF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$19.84/hour for BluAgeRuntime-EC2Deployed on r7a.32xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","19.8400000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","r7a.32xlarge","USE1-r7a.32xlargeBluAgeRuntime-EC2Deployed","","Paid","Blu Age Runtime on EC2","us-east-1","AWS Mainframe Modernization"
"5C7CS627Y2FWCEF5","JRTCKXETXF","5C7CS627Y2FWCEF5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0/hour for BluAgeDeveloper on m6i.large in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.0000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m6i.large","USE1-m6i.largeBluAgeDeveloper","","Paid","Blu Age Developer","us-east-1","AWS Mainframe Modernization"
"5CGTXBXN48KGHWQS","JRTCKXETXF","5CGTXBXN48KGHWQS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0/hour for EnterpriseDeveloper-Free on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.0000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m6i.large","USE1-m6i.largeEnterpriseDeveloper-Free","","Free","Enterprise Developer","us-east-1","AWS Mainframe Modernization"
"5CWX7NXVWB36QNXF","JRTCKXETXF","5CWX7NXVWB36QNXF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$11.1/hour for EnterpriseServer on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","11.1000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","r3.xlarge","USE1-r3.xlargeEnterpriseServer","","Paid","Enterprise Server","us-east-1","AWS Mainframe Modernization"
"5F8699Q8Z7AG8PPA","JRTCKXETXF","5F8699Q8Z7AG8PPA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.24/hour for BluAgeRuntime on m5zn.2xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","1.2400000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m5zn.2xlarge","USE1-m5zn.2xlargeBluAgeRuntime","","Paid","Blu Age Runtime","us-east-1","AWS Mainframe Modernization"
"5N695GHKB9KA596K","JRTCKXETXF","5N695GHKB9KA596K.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.56/hour for EnterpriseDeveloper on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","8.5600000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","c6i.2xlarge","USE1-c6i.2xlargeEnterpriseDeveloper","","Paid","Enterprise Developer","us-east-1","AWS Mainframe Modernization"
"5QHPJF4BU2JY6H2A","JRTCKXETXF","5QHPJF4BU2JY6H2A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$11.1/hour for Enterprise Server in US East (N. Virginia)","2025-02-01","0","Inf","hours","11.1000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m7i.xlarge","USE1-m7i.xlargeEnterpriseServer","","Paid","Enterprise Server","us-east-1","AWS Mainframe Modernization"
"5RW62U43MCJ7K744","JRTCKXETXF","5RW62U43MCJ7K744.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0/hour for EnterpriseServer-Free on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.0000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m5zn.large","USE1-m5zn.largeEnterpriseServer-Free","","Free","Enterprise Server","us-east-1","AWS Mainframe Modernization"
"5SJZGWDMWEDER577","JRTCKXETXF","5SJZGWDMWEDER577.JRTCKXETXF.6YS6EN2CT7","OnDemand","$22.2/hour for EnterpriseServer on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","22.2000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m6i.2xlarge","USE1-m6i.2xlargeEnterpriseServer","","Paid","Enterprise Server","us-east-1","AWS Mainframe Modernization"
"5UCFEDEQRRXB2ZCT","JRTCKXETXF","5UCFEDEQRRXB2ZCT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.62/hour for BluAgeRuntime-EC2Deployed on m5.xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.6200000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m5.xlarge","USE1-m5.xlargeBluAgeRuntime-EC2Deployed","","Paid","Blu Age Runtime on EC2","us-east-1","AWS Mainframe Modernization"
