"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-09-06T17:25:11Z"
"Version","20220906172511"
"OfferCode","AmazonDevOpsGuru"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","API Calls","Region Code","Resource Price Group","serviceName"
"JBRT9AEPVC8X9QJ7","JRTCKXETXF","JBRT9AEPVC8X9QJ7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0028 per AWS Resource per Hour for US East (N. Virginia)-ResourceGroup-A-usagehours","2022-09-01","0","Inf","usagehours","0.0028000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-ResourceGroup-A-usagehours","",,"us-east-1","Resource Price Group A","Amazon DevOps Guru"
"JEMJSDWEBQMYGZB8","JRTCKXETXF","JEMJSDWEBQMYGZB8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-DynamoDB-Table-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-DynamoDB-Table-GroupB","",,"us-east-1","DynamoDB-Table-GroupB","Amazon DevOps Guru"
"JM6BZC3TRU55EVA9","JRTCKXETXF","JM6BZC3TRU55EVA9.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-ResourceGroup-B-usagehours-Resource-Analysis-ZeroTier","",,"us-east-1","Resource Price Group B-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"K6PT3KCZTGY3HCQR","JRTCKXETXF","K6PT3KCZTGY3HCQR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-StepFunctions-StateMachine-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-StepFunctions-StateMachine-GroupB","",,"us-east-1","StepFunctions-StateMachine-GroupB","Amazon DevOps Guru"
"KN5UCRKD9R4SKHRH","JRTCKXETXF","KN5UCRKD9R4SKHRH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0028 per AWS Resource per Hour for US East (N. Virginia)-Lambda-Function-GroupA","2022-09-01","0","Inf","usagehours","0.0028000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-Lambda-Function-GroupA","",,"us-east-1","Lambda-Function-GroupA","Amazon DevOps Guru"
"KRHBA688A9ZVZCAK","JRTCKXETXF","KRHBA688A9ZVZCAK.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-Lambda-Function-GroupA-Resource-Analysis-ZeroTier","",,"us-east-1","Lambda-Function-GroupA-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"M4NBRE7GQZCZN3RA","JRTCKXETXF","M4NBRE7GQZCZN3RA.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-ECS-Service-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","ECS-Service-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"MDR823Y6URJEY5CG","JRTCKXETXF","MDR823Y6URJEY5CG.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-DynamoDBStreams-Stream-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","DynamoDB Streams-Stream-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"MT3DDNMUYYHKBWJP","JRTCKXETXF","MT3DDNMUYYHKBWJP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-RedShift-Node-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-RedShift-Node-GroupB","",,"us-east-1","RedShift-Node-GroupB","Amazon DevOps Guru"
"MV4AKFG67XSRT7J4","JRTCKXETXF","MV4AKFG67XSRT7J4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-SWF-Task-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-SWF-Task-GroupB","",,"us-east-1","SWF-Task-GroupB","Amazon DevOps Guru"
