"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-03-19T17:22:41Z"
"Version","20240319172241"
"OfferCode","AmazonManagedBlockchain"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","usageType","operation","Framework Type","Region Code","serviceName","Size"
"TTF9YRP64VF7U5TV","JRTCKXETXF","TTF9YRP64VF7U5TV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000007 per Request for Query-Public-S:Public-Bitcoin-Mainnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000070000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Query-Public-S","Public-Bitcoin-Mainnet","Bitcoin-Mainnet-Query","us-east-1","Amazon Managed Blockchain","S"
"UW9ZAA2BJSRZGC4N","JRTCKXETXF","UW9ZAA2BJSRZGC4N.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.267 per hour for Hyperledger Fabric - Standard Edition bc.t3.xlarge node in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.2670000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.t3.xlarge","USE1-Node:bc.t3.xlarge","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
"UXABKTUQH9YZBERB","JRTCKXETXF","UXABKTUQH9YZBERB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.134 per hour for Hyperledger Fabric - Standard Edition bc.t3.large node in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.1340000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.t3.large","USE1-Node:bc.t3.large","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
"V6Z9A7CQCEW8TKTN","JRTCKXETXF","V6Z9A7CQCEW8TKTN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.617 per hour for Node:bc.m5.2xlarge:Ethereum:Public in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.6170000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.m5.2xlarge","USE1-Node:bc.m5.2xlarge","Ethereum:Public","Ethereum - Public","us-east-1","Amazon Managed Blockchain",
"VFZBSYM8EBBEFZTF","JRTCKXETXF","VFZBSYM8EBBEFZTF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB for Hyperledger Fabric - Standard Edition data written in US East (N. Virginia)","2024-02-01","0","Inf","GB","0.1000000000","USD","Blockchain Data Written","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Data-Written-To-Network","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
"VJFFPN8M82RFKVR5","JRTCKXETXF","VJFFPN8M82RFKVR5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.272 per hour for Hyperledger Fabric - Standard Edition bc.c5.xlarge node in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.2720000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.c5.xlarge","USE1-Node:bc.c5.xlarge","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
"W6E9QVV747UMHNTB","JRTCKXETXF","W6E9QVV747UMHNTB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.088 per hour for Node:bc.c5.4xlarge:Ethereum:Public in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","1.0880000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.c5.4xlarge","USE1-Node:bc.c5.4xlarge","Ethereum:Public","Ethereum - Public","us-east-1","Amazon Managed Blockchain",
"W7FQUYK3N6V5XV4X","JRTCKXETXF","W7FQUYK3N6V5XV4X.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000009 per Request for Query-Public-M:Public-Bitcoin-Mainnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000090000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Query-Public-M","Public-Bitcoin-Mainnet","Bitcoin-Mainnet-Query","us-east-1","Amazon Managed Blockchain","M"
"WB53CAPMNDKKHZ78","JRTCKXETXF","WB53CAPMNDKKHZ78.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000025 per Request for Access-Public-XL:Public-Bitcoin-Testnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000250000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Access-Public-XL","Public-Bitcoin-Testnet","Bitcoin-Testnet-Access","us-east-1","Amazon Managed Blockchain","XL"
"WQNWXY969ASCGJ7U","JRTCKXETXF","WQNWXY969ASCGJ7U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.067 per hour for Hyperledger Fabric - Starter Edition bc.t3.medium node in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.0670000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.t3.medium","USE1-Node:bc.t3.medium","Fabric:Starter","Hyperledger Fabric - Starter","us-east-1","Amazon Managed Blockchain",
"WUCHCZRWPAFAGNC2","JRTCKXETXF","WUCHCZRWPAFAGNC2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.154 per hour for Node:bc.m5.large:Ethereum:Public in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.1540000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.m5.large","USE1-Node:bc.m5.large","Ethereum:Public","Ethereum - Public","us-east-1","Amazon Managed Blockchain",
"X2NVQYP5BH57H66Y","JRTCKXETXF","X2NVQYP5BH57H66Y.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000005 per Request for Access-Public-XS:Public-Bitcoin-Testnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000050000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Access-Public-XS","Public-Bitcoin-Testnet","Bitcoin-Testnet-Access","us-east-1","Amazon Managed Blockchain","XS"
"YM3QN88ARXM7PFUG","JRTCKXETXF","YM3QN88ARXM7PFUG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB-Mo for Hyperledger Fabric - Standard Edition node storage in US East (N. Virginia)","2024-02-01","0","Inf","GB-Mo","0.1000000000","USD","Blockchain Node Storage","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Node-Storage","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
"YUPG28P88GY83GGN","JRTCKXETXF","YUPG28P88GY83GGN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.134 per hour for Node:bc.t3.large:Ethereum:Public in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.1340000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.t3.large","USE1-Node:bc.t3.large","Ethereum:Public","Ethereum - Public","us-east-1","Amazon Managed Blockchain",
"ZRD6VJ9W9CHQJBEF","JRTCKXETXF","ZRD6VJ9W9CHQJBEF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB-Mo for Hyperledger Fabric - Starter Edition node storage in US East (N. Virginia)","2024-02-01","0","Inf","GB-Mo","0.1000000000","USD","Blockchain Node Storage","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Node-Storage","Fabric:Starter","Hyperledger Fabric - Starter","us-east-1","Amazon Managed Blockchain",
"ZYUUZV7NCG3FCHEP","JRTCKXETXF","ZYUUZV7NCG3FCHEP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000007 per Request for Query-Public-S:Public-Bitcoin-Testnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000070000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Query-Public-S","Public-Bitcoin-Testnet","Bitcoin-Testnet-Query","us-east-1","Amazon Managed Blockchain","S"
