"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-03-11T17:14:13Z"
"Version","20220311171413"
"OfferCode","AmazonChimeDialInAMCS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Calling Type","Country","PrimaryPlaceOfUse","Region Code","serviceName","Transaction Type"
"7D5XQKB67E7ZGE2C","JRTCKXETXF","7D5XQKB67E7ZGE2C.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for New Zealand","2022-03-01","0","Inf","Minute","0.0070360000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-NZ-toll-inbound-mins","","Toll","New Zealand","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"7FP9YT7MA5SFGRCC","JRTCKXETXF","7FP9YT7MA5SFGRCC.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Saint Vincent and Grenadines","2022-03-01","0","Inf","Minute","0.0022160000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-VC-toll-inbound-mins","","Toll","Saint Vincent and Grenadines","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"7FVXYSJXXPUH7SSG","JRTCKXETXF","7FVXYSJXXPUH7SSG.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Denmark","2022-03-01","0","Inf","Minute","0.0032210000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-DK-toll-inbound-mins","","Toll","Denmark","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"7PKWKGMQD2GYZSYU","JRTCKXETXF","7PKWKGMQD2GYZSYU.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Malaysia","2022-03-01","0","Inf","Minute","0.1200000000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-MY-tollfree-inbound-mins","","Toll Free","Malaysia","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"7VEM5YYH7YC5S9FG","JRTCKXETXF","7VEM5YYH7YC5S9FG.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Barbados","2022-03-01","0","Inf","Minute","0.0119100000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-BB-tollfree-inbound-mins","","Toll Free","Barbados","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"7ZHMAW9SQTZC3FMP","JRTCKXETXF","7ZHMAW9SQTZC3FMP.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Spain","2022-03-01","0","Inf","Minute","0.0191870000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-ES-toll-inbound-mins","","Toll","Spain","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"83YHGTZT6T4CW4MN","JRTCKXETXF","83YHGTZT6T4CW4MN.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Puerto Rico","2022-03-01","0","Inf","Minute","0.0087950000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-PR-toll-inbound-mins","","Toll","Puerto Rico","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"8NVT47DCQQ6RX6WD","JRTCKXETXF","8NVT47DCQQ6RX6WD.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Cyprus","2022-03-01","0","Inf","Minute","0.1293420000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-CY-tollfree-inbound-mins","","Toll Free","Cyprus","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"8NYSZP4XRPSY7BNM","JRTCKXETXF","8NYSZP4XRPSY7BNM.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Panama","2022-03-01","0","Inf","Minute","0.0300560000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-PA-toll-inbound-mins","","Toll","Panama","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"8R7S7CNXBYGVJPF3","JRTCKXETXF","8R7S7CNXBYGVJPF3.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Poland","2022-03-01","0","Inf","Minute","0.0032210000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-PL-toll-inbound-mins","","Toll","Poland","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
