"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-04T15:45:17Z"
"Version","20250404154517"
"OfferCode","comprehend"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","PlatoFeatureType","Region Code","serviceName"
"S48Y3HRXDWBWW4JV","JRTCKXETXF","S48Y3HRXDWBWW4JV.JRTCKXETXF.F83EQNDM5J","OnDemand","USD5E-6 per Unit for DetectToxicContent:DetectToxicContent in US East (N. Virginia)","2025-04-01","100000000","Inf","Unit","0.0000050000","USD","Toxicity detection","comprehend","US East (N. Virginia)","AWS Region","Comprehend Toxicity Detection","Comprehend toxicity detection for text segments","USE1-DetectToxicContent","DetectToxicContent",,"us-east-1","Amazon Comprehend"
"U6ZXDZDEGZSJRE2E","JRTCKXETXF","U6ZXDZDEGZSJRE2E.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0005 per Unit for Endpoint-Time:DetectEntities in US East (N. Virginia)","2025-04-01","0","Inf","Unit","0.0005000000","USD","Custom Entities","comprehend","US East (N. Virginia)","AWS Region","comprehend - Custom Entities","Processes Sync custom entities text request","USE1-Endpoint-Time","DetectEntities","Endpoint-Time","us-east-1","Amazon Comprehend"
"WT6HS5E5JMXNX3S9","JRTCKXETXF","WT6HS5E5JMXNX3S9.JRTCKXETXF.HWDSBTNJX9","OnDemand","Processes Language Detection text requests in us-east-1 - Upto 10M","2025-04-01","0","10000000","Unit","0.0001000000","USD","Dominant Language Detection","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-LanguageDetection","Processes Language Detection text request","USE1-DetectDominantLanguage","DetectDominantLanguage","DetectDominantLanguage","us-east-1","Amazon Comprehend"
"WT6HS5E5JMXNX3S9","JRTCKXETXF","WT6HS5E5JMXNX3S9.JRTCKXETXF.UH4R86KK5B","OnDemand","Processes Language Detection text requests in us-east-1 - Upto 50M","2025-04-01","10000000","50000000","Unit","0.0000500000","USD","Dominant Language Detection","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-LanguageDetection","Processes Language Detection text request","USE1-DetectDominantLanguage","DetectDominantLanguage","DetectDominantLanguage","us-east-1","Amazon Comprehend"
"WT6HS5E5JMXNX3S9","JRTCKXETXF","WT6HS5E5JMXNX3S9.JRTCKXETXF.ECJTRKSV3C","OnDemand","Processes Language Detection text requests in us-east-1 - Over 50M","2025-04-01","50000000","Inf","Unit","0.0000250000","USD","Dominant Language Detection","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-LanguageDetection","Processes Language Detection text request","USE1-DetectDominantLanguage","DetectDominantLanguage","DetectDominantLanguage","us-east-1","Amazon Comprehend"
"WTH6E9J56MWXRTER","JRTCKXETXF","WTH6E9J56MWXRTER.JRTCKXETXF.HWDSBTNJX9","OnDemand","USD1.0E-4 per Unit for DocClassification:PromptSafety in US East (N. Virginia)","2025-04-01","0","10000000","Unit","0.0001000000","USD","Prompt safety classification","comprehend","US East (N. Virginia)","AWS Region","Comprehend-prompt-safety-classification","Comprehend prompt safety classifier for text","USE1-DocClassification-PromptSafety","DocClassification",,"us-east-1","Amazon Comprehend"
"WTH6E9J56MWXRTER","JRTCKXETXF","WTH6E9J56MWXRTER.JRTCKXETXF.UH4R86KK5B","OnDemand","USD5.0E-5 per Unit for DocClassification:PromptSafety in US East (N. Virginia)","2025-04-01","10000000","50000000","Unit","0.0000500000","USD","Prompt safety classification","comprehend","US East (N. Virginia)","AWS Region","Comprehend-prompt-safety-classification","Comprehend prompt safety classifier for text","USE1-DocClassification-PromptSafety","DocClassification",,"us-east-1","Amazon Comprehend"
"WTH6E9J56MWXRTER","JRTCKXETXF","WTH6E9J56MWXRTER.JRTCKXETXF.H7TEM37A35","OnDemand","USD2.5E-5 per Unit for DocClassification:PromptSafety in US East (N. Virginia)","2025-04-01","50000000","100000000","Unit","0.0000250000","USD","Prompt safety classification","comprehend","US East (N. Virginia)","AWS Region","Comprehend-prompt-safety-classification","Comprehend prompt safety classifier for text","USE1-DocClassification-PromptSafety","DocClassification",,"us-east-1","Amazon Comprehend"
"WTH6E9J56MWXRTER","JRTCKXETXF","WTH6E9J56MWXRTER.JRTCKXETXF.F83EQNDM5J","OnDemand","USD5E-6 per Unit for DocClassification:PromptSafety in US East (N. Virginia)","2025-04-01","100000000","Inf","Unit","0.0000050000","USD","Prompt safety classification","comprehend","US East (N. Virginia)","AWS Region","Comprehend-prompt-safety-classification","Comprehend prompt safety classifier for text","USE1-DocClassification-PromptSafety","DocClassification",,"us-east-1","Amazon Comprehend"
"X7RYZ5AKB3UUJKRT","JRTCKXETXF","X7RYZ5AKB3UUJKRT.JRTCKXETXF.6YS6EN2CT7","OnDemand","Processes Topic Detection text request in us-east-1 - PerMB","2025-04-01","0","Inf","MB","0.0040000000","USD","Topic Modeling","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-DetectTopic-PerMB","Processes Topic Detection text request","USE1-DetectTopics-PerMB","DetectTopics","DetectTopics-PerMB","us-east-1","Amazon Comprehend"
"Y43GAZS26PRCFXJW","JRTCKXETXF","Y43GAZS26PRCFXJW.JRTCKXETXF.HWDSBTNJX9","OnDemand","Processes Sentiment Analysis text requests in us-east-1 - Upto 10M","2025-04-01","0","10000000","Unit","0.0001000000","USD","Sentiment Analysis","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-SentimentAnalysis","Processes Sentiment Analysis text request","USE1-DetectSentiment","DetectSentiment","DetectSentiment","us-east-1","Amazon Comprehend"
"Y43GAZS26PRCFXJW","JRTCKXETXF","Y43GAZS26PRCFXJW.JRTCKXETXF.UH4R86KK5B","OnDemand","Processes Sentiment Analysis text requests in us-east-1 - Upto 50M","2025-04-01","10000000","50000000","Unit","0.0000500000","USD","Sentiment Analysis","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-SentimentAnalysis","Processes Sentiment Analysis text request","USE1-DetectSentiment","DetectSentiment","DetectSentiment","us-east-1","Amazon Comprehend"
"Y43GAZS26PRCFXJW","JRTCKXETXF","Y43GAZS26PRCFXJW.JRTCKXETXF.ECJTRKSV3C","OnDemand","Processes Sentiment Analysis text requests in us-east-1 - Over 50M","2025-04-01","50000000","Inf","Unit","0.0000250000","USD","Sentiment Analysis","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-SentimentAnalysis","Processes Sentiment Analysis text request","USE1-DetectSentiment","DetectSentiment","DetectSentiment","us-east-1","Amazon Comprehend"
"ZVHHXVZJFNAV47KD","JRTCKXETXF","ZVHHXVZJFNAV47KD.JRTCKXETXF.HWDSBTNJX9","OnDemand","$0.003 per Unit for DetectEvents:DetectEvents in US East (N. Virginia)","2025-04-01","0","10000000","Unit","0.0030000000","USD","API Calls","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-DetectEvents","Processes Event Analysis text request","USE1-DetectEvents","DetectEvents","DetectEvents","us-east-1","Amazon Comprehend"
"ZVHHXVZJFNAV47KD","JRTCKXETXF","ZVHHXVZJFNAV47KD.JRTCKXETXF.UH4R86KK5B","OnDemand","$0.0015 per Unit for DetectEvents:DetectEvents in US East (N. Virginia)","2025-04-01","10000000","50000000","Unit","0.0015000000","USD","API Calls","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-DetectEvents","Processes Event Analysis text request","USE1-DetectEvents","DetectEvents","DetectEvents","us-east-1","Amazon Comprehend"
"ZVHHXVZJFNAV47KD","JRTCKXETXF","ZVHHXVZJFNAV47KD.JRTCKXETXF.ECJTRKSV3C","OnDemand","$0.00075 per Unit for DetectEvents:DetectEvents in US East (N. Virginia)","2025-04-01","50000000","Inf","Unit","0.0007500000","USD","API Calls","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-DetectEvents","Processes Event Analysis text request","USE1-DetectEvents","DetectEvents","DetectEvents","us-east-1","Amazon Comprehend"
