SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Availability,Storage Class,Volume Type,Fee Code,Fee Description,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,Durability,From Region Code,Overhead,Region Code,serviceName,To Region Code
5B5B8JFRY7BDZV4K,JRTCKXETXF,5B5B8JFRY7BDZV4K.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0033 per GB - Australia (Sydney) InterRegion Inbound Base Data Transfer for MRAP to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0033000000,USD,,AmazonS3,,,,,,,,,,InterRegion Inbound,Asia Pacific (Sydney),AWS Region,US East (N. Virginia),AWS Region,USE1-APS2-MRAP-In-Bytes,MRAP-Dtransfer,,ap-southeast-2,,,Amazon Simple Storage Service,us-east-1
5JFW39E6V2Q4CXZE,JRTCKXETXF,5JFW39E6V2Q4CXZE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.015 per GB - US West (N. California) Data Transfer for Replication Time Control to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0150000000,USD,,AmazonS3,,,,,,,,,,InterRegion Outbound,US West (N. California),AWS Region,US East (N. Virginia),AWS Region,USW1-USE1-S3RTC-Out-Bytes,,,us-west-1,,,Amazon Simple Storage Service,us-east-1
5MHFFTDKXCFS7X5S,JRTCKXETXF,5MHFFTDKXCFS7X5S.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00200 per GB - for bytes scanned by S3 Select in Standard-Infrequent Access,2025-05-01,0,Inf,GB,0.0020000000,USD,API Request,AmazonS3,US East (N. Virginia),AWS Region,,,,,,S3-API-SIA-Select-Scanned,Data Scanned by S3 Select in Standard-Infrequent Access,,,,,,Select-Scanned-SIA-Bytes,,,,,us-east-1,Amazon Simple Storage Service,
5PUCXH2EFEHTSP7A,JRTCKXETXF,5PUCXH2EFEHTSP7A.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per GB for Bulk-Retrieval-Bytes:IntDAARestoreObject in US East (N. Virginia),2025-05-01,0,Inf,GB,0.0000000000,USD,,AmazonS3,US East (N. Virginia),AWS Region,,,,,,INT-DAA-RestoreObject,Bulk INT Retrieval,,,,,,USE1-Bulk-Retrieval-Bytes,IntDAARestoreObject,,,,us-east-1,Amazon Simple Storage Service,
5R6RW4KTXRFR5WNY,JRTCKXETXF,5R6RW4KTXRFR5WNY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.004 per 1,000 objects compacted in S3 Table Buckets in US East (N. Virginia),2025-05-01,0,Inf,Objects,0.0000040000,USD,,AmazonS3,US East (N. Virginia),AWS Region,,,,S3-Tables-CompactedObjects,Fee for objects compacted in S3 Table Buckets,,,,,,,,Tables-CompactedObjects,,,,,us-east-1,Amazon Simple Storage Service,
5SDXF4CECDF2CJWV,JRTCKXETXF,5SDXF4CECDF2CJWV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0033 per GB - Asia Pacific (Mumbai) InterRegion Outbound Base Data Transfer for MRAP to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0033000000,USD,,AmazonS3,,,,,,,,,,InterRegion Outbound,Asia Pacific (Mumbai),AWS Region,US East (N. Virginia),AWS Region,APS3-USE1-MRAP-Out-Bytes,MRAP-Dtransfer,,ap-south-1,,,Amazon Simple Storage Service,us-east-1
5TA6SRKY5BDXA726,JRTCKXETXF,5TA6SRKY5BDXA726.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.015 per GB - Israel (Tel Aviv) Data Transfer for Replication Time Control to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0150000000,USD,,AmazonS3,,,,,,,,,,InterRegion Outbound,Israel (Tel Aviv),AWS Region,US East (N. Virginia),AWS Region,ILC1-USE1-S3RTC-Out-Bytes,,,il-central-1,,,Amazon Simple Storage Service,us-east-1
5VJGQJ6D8TUT6W2V,JRTCKXETXF,5VJGQJ6D8TUT6W2V.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.015 per GB - US East (N. Virginia) Data Transfer for Replication Time Control to Middle East (UAE),2025-05-01,0,Inf,GB,0.0150000000,USD,,AmazonS3,,,,,,,,,,InterRegion Outbound,US East (N. Virginia),AWS Region,Middle East (UAE),AWS Region,USE1-MEC1-S3RTC-Out-Bytes,,,us-east-1,,,Amazon Simple Storage Service,me-central-1
5WD55S5E5DE333Q8,JRTCKXETXF,5WD55S5E5DE333Q8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03 per 1,000 CreateAGInstancePolicy requests for S3 Access Grants,2025-05-01,0,Inf,Requests,0.0000300000,USD,,AmazonS3,US East (N. Virginia),AWS Region,,,,,,S3-API-Tier8,Access Grants Requests-CreateAGInstancePolicy,,,,,,Requests-Tier8,CreateAGInstancePolicy,,,,us-east-1,Amazon Simple Storage Service,
5WN5DQ9QH4AUT9SR,JRTCKXETXF,5WN5DQ9QH4AUT9SR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0033 per GB - EU (Frankfurt) InterRegion Inbound Base Data Transfer for MRAP to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0033000000,USD,,AmazonS3,,,,,,,,,,InterRegion Inbound,EU (Frankfurt),AWS Region,US East (N. Virginia),AWS Region,USE1-EUC1-MRAP-In-Bytes,MRAP-Dtransfer,,eu-central-1,,,Amazon Simple Storage Service,us-east-1
