SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Calling Type,Country,Region Code,serviceName
7WNA6CBCZ3A98VUY,JRTCKXETXF,7WNA6CBCZ3A98VUY.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Chile,2022-03-01,0,Inf,Minute,0.0250460000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-CL-toll-inbound-mins,,Toll,Chile,us-east-1,Amazon Chime Dialin
84F58VM6ZYSU58DS,JRTCKXETXF,84F58VM6ZYSU58DS.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for United States of America,2022-03-01,0,Inf,Minute,0.0119100000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-US-tollfree-inbound-mins,,Toll Free,United States of America,us-east-1,Amazon Chime Dialin
8FKMVQSX5BW7JJPN,JRTCKXETXF,8FKMVQSX5BW7JJPN.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for India,2022-03-01,0,Inf,Minute,0.1210000000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-IN-tollfree-inbound-mins,,Toll Free,India,us-east-1,Amazon Chime Dialin
97MS8J6NF4D6Y7TJ,JRTCKXETXF,97MS8J6NF4D6Y7TJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Turkey,2022-03-01,0,Inf,Minute,0.0250460000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-TR-toll-inbound-mins,,Toll,Turkey,us-east-1,Amazon Chime Dialin
99S3GQS6CQBTCBG7,JRTCKXETXF,99S3GQS6CQBTCBG7.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Peru,2022-03-01,0,Inf,Minute,0.3011280000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-PE-tollfree-inbound-mins,,Toll Free,Peru,us-east-1,Amazon Chime Dialin
9NVAEXY4ZC5EQZ7C,JRTCKXETXF,9NVAEXY4ZC5EQZ7C.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Poland,2022-03-01,0,Inf,Minute,0.0032210000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-PL-toll-inbound-mins,,Toll,Poland,us-east-1,Amazon Chime Dialin
ACCRASDJVMY6AXGM,JRTCKXETXF,ACCRASDJVMY6AXGM.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for South Africa,2022-03-01,0,Inf,Minute,0.1200000000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-ZA-tollfree-inbound-mins,,Toll Free,South Africa,us-east-1,Amazon Chime Dialin
AGG9KNTRHG7AH6PB,JRTCKXETXF,AGG9KNTRHG7AH6PB.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Grenada,2022-03-01,0,Inf,Minute,0.0022160000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-GD-toll-inbound-mins,,Toll,Grenada,us-east-1,Amazon Chime Dialin
AJP5JZEJSUMAGPGP,JRTCKXETXF,AJP5JZEJSUMAGPGP.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for New Zealand,2022-03-01,0,Inf,Minute,0.0070360000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-NZ-toll-inbound-mins,,Toll,New Zealand,us-east-1,Amazon Chime Dialin
AR95NJ6S6XZT533T,JRTCKXETXF,AR95NJ6S6XZT533T.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Slovenia,2022-03-01,0,Inf,Minute,0.0423610000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-SI-toll-inbound-mins,,Toll,Slovenia,us-east-1,Amazon Chime Dialin
AVXTQU9959WAUHTR,JRTCKXETXF,AVXTQU9959WAUHTR.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Ukraine,2022-03-01,0,Inf,Minute,0.1260000000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-UA-toll-inbound-mins,,Toll,Ukraine,us-east-1,Amazon Chime Dialin
