SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Physical Processor,Clock Speed,Memory,Storage,Network Performance,Processor Architecture,Storage Media,Volume Type,Min Volume Size,Max Volume Size,usageType,operation,Availability Zone,Capacity Usage,Dedicated EBS Throughput,Enhanced Networking Supported,Processor Features,Region Code,serviceName,Type
CHXG4A7KA25WQ29K,JRTCKXETXF,CHXG4A7KA25WQ29K.JRTCKXETXF.6YS6EN2CT7,OnDemand,$41.9504 per DMS Serverless 256 DCU capacity Multi-AZ DCU hours,2025-03-01,0,Inf,DCU-Hr,41.9504332100,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,USE1-DMSServerlessRepMultiAZCapacityUsg:256,CreateDMSInstance,Multiple,256,,,,us-east-1,AWS Database Migration Service,Serverless
CPVN499A9YDY28WS,JRTCKXETXF,CPVN499A9YDY28WS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.6219 per DMS Serverless 32 DCU capacity DCU hours,2025-03-01,0,Inf,DCU-Hr,2.6219020760,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,USE1-DMSServerlessRepCapacityUsg:32,CreateDMSInstance,Single,32,,,,us-east-1,AWS Database Migration Service,Serverless
CQZCTDJKCBCFUMGJ,JRTCKXETXF,CQZCTDJKCBCFUMGJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.353 per On Demand DMS r6i.large Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,0.3530000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,r6i.large,Yes,Memory optimized,2,Intel Xeon Platinum 8000,Up to 3.1 GHz,16 GiB,EBS Only,10 Gigabit,64-bit,,,,,Multi-AZUsg:dms.r6i.large,CreateDMSInstance,Multiple,,N/A,Yes,N/A,us-east-1,AWS Database Migration Service,
CXGPRREB3RQ3ST2W,JRTCKXETXF,CXGPRREB3RQ3ST2W.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.1639 per DMS Serverless 1 DCU capacity Multi-AZ DCU hours,2025-03-01,0,Inf,DCU-Hr,0.1638688800,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,USE1-DMSServerlessRepMultiAZCapacityUsg:1,CreateDMSInstance,Multiple,1,,,,us-east-1,AWS Database Migration Service,Serverless
D64F2FUQN4ZW94NB,JRTCKXETXF,D64F2FUQN4ZW94NB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$3.60864 per On Demand DMS r5.8xlarge Instance Hour,2025-03-01,0,Inf,Hrs,3.6086400000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,r5.8xlarge,Yes,Memory optimized,32,Intel Xeon Platinum 8000,Up to 3.1 GHz,256 GiB,EBS Only,10 Gigabit,64-bit,,,,,InstanceUsg:dms.r5.8xlarge,CreateDMSInstance,Single,,N/A,Yes,N/A,us-east-1,AWS Database Migration Service,
D6JYZJJE9BNDGD3M,JRTCKXETXF,D6JYZJJE9BNDGD3M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.036 per On Demand DMS t2.small Instance Hour,2025-03-01,0,Inf,Hrs,0.0360000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,t2.small,Yes,General purpose,1,Intel Xeon Family,Up to 3.3 GHz,2 GiB,50 GB,Low to Moderate,32-bit or 64-bit,,,,,InstanceUsg:dms.t2.small,CreateDMSInstance,Single,,N/A,No,Intel AVX; Intel Turbo,us-east-1,AWS Database Migration Service,
DRBZZVXJZPUF7VWH,JRTCKXETXF,DRBZZVXJZPUF7VWH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$10.4876 per DMS Serverless 64 DCU capacity Multi-AZ DCU hours,2025-03-01,0,Inf,DCU-Hr,10.4876083000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,USE1-DMSServerlessRepMultiAZCapacityUsg:64,CreateDMSInstance,Multiple,64,,,,us-east-1,AWS Database Migration Service,Serverless
DSJWRCE2TNT64G3Y,JRTCKXETXF,DSJWRCE2TNT64G3Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,$15.7314 per DMS Serverless 192 DCU capacity DCU hours,2025-03-01,0,Inf,DCU-Hr,15.7314124500,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,USE1-DMSServerlessRepCapacityUsg:192,CreateDMSInstance,Single,192,,,,us-east-1,AWS Database Migration Service,Serverless
DVUZNFU377TA6FUR,JRTCKXETXF,DVUZNFU377TA6FUR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.47 per On Demand DMS c4.4xlarge Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,2.4700000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c4.4xlarge,Yes,General purpose,16,Intel Xeon E5-2666 v3 (Haswell),2.9 GHz,30 GiB,100 GB,High,64-bit,,,,,Multi-AZUsg:dms.c4.4xlarge,CreateDMSInstance,Multiple,,2000 Mbps,Yes,Intel AVX; Intel AVX2; Intel Turbo,us-east-1,AWS Database Migration Service,
DX2D3CHSP4NXQKTP,JRTCKXETXF,DX2D3CHSP4NXQKTP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$10.82592 per On Demand DMS r5.24xlarge Instance Hour,2025-03-01,0,Inf,Hrs,10.8259200000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,r5.24xlarge,Yes,Compute optimized,48,Intel Xeon Platinum,Up to 3.0 GHz,384 GiB,100 GB,Up to 10 Gigabit,64-bit,,,,,InstanceUsg:dms.r5.24xlarge,CreateDMSInstance,Single,,Upto 2250 Mbps,Yes,Intel AVX,Intel AVX2,Intel AVX512,Intel Turbo,us-east-1,AWS Database Migration Service,
