SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,Storage Media,Group,Group Description,usageType,operation,Alarm Type,Database Engine Type,Instance Configuration Type,Logs Destination,Region Code,serviceName,Type,Type Description,Version
8F6VXFPPPW3MWGAY,JRTCKXETXF,8F6VXFPPPW3MWGAY.JRTCKXETXF.AQTKZ3QBDA,OnDemand,$0.05 per GB of CloudFront vended logs ingested in Standard log class over 50TB  - US East (Northern Virginia),2025-05-01,51200,Inf,GB,0.0500000000,USD,SSNSJENVU973ECHE,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Ingested Logs,Logs generated by Amazon CloudFront and delivered to CloudWatch-Standard as Vended Logs,USE1-VendedLog-Bytes-CFLogs,PutLogEvents,,,,Amazon CloudWatch Logs,us-east-1,AmazonCloudWatch,,,Current
96K55R2PV3ZZZ3AM,JRTCKXETXF,96K55R2PV3ZZZ3AM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per GB custom log data ingested in Standard log class - US East (Northern Virginia),2025-05-01,0,Inf,GB,0.5000000000,USD,SSNSJENVU973ECHE,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Ingested Logs,Existing system,application,and custom log files,DataProcessing-Bytes,PutLogEvents,,,,Amazon CloudWatch Logs,us-east-1,AmazonCloudWatch,,,Legacy
9V7WF4UJYPUBZH76,JRTCKXETXF,9V7WF4UJYPUBZH76.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0069 per monitored resource hour in region US East (N. Virginia),2025-05-01,0,Inf,hours,0.0069000000,USD,AHVP2TNT4Z5GXZT5,CloudWatch Network Flow Monitor,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-NFM-Paid,CloudWatch Network Flow Monitor - Paid Tier,USE1-CW:NFM-ResourceHours,PutResourceHours,,,,,us-east-1,AmazonCloudWatch,,,
9WYME8VRJX5XNNG9,JRTCKXETXF,9WYME8VRJX5XNNG9.JRTCKXETXF.Q3Z75P77EN,OnDemand,$0.25 per GB of log data delivered to S3 for the first 10TB - US East (Northern Virginia),2025-05-01,0,10240,GB,0.2500000000,USD,85NYBRRPURC8EH9H,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Delivered Logs,Log delivered from AWS services to log destinations other than CloudWatch,USE1-S3-Egress-Bytes,,,,,Amazon S3,us-east-1,AmazonCloudWatch,,,Current
9WYME8VRJX5XNNG9,JRTCKXETXF,9WYME8VRJX5XNNG9.JRTCKXETXF.JM86AE7V7B,OnDemand,$0.15 per GB of log data delivered to S3 for the next 20TB - US East (Northern Virginia),2025-05-01,10240,30720,GB,0.1500000000,USD,85NYBRRPURC8EH9H,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Delivered Logs,Log delivered from AWS services to log destinations other than CloudWatch,USE1-S3-Egress-Bytes,,,,,Amazon S3,us-east-1,AmazonCloudWatch,,,Current
9WYME8VRJX5XNNG9,JRTCKXETXF,9WYME8VRJX5XNNG9.JRTCKXETXF.AMET9K77J3,OnDemand,$0.075 per GB of log data delivered to S3 for the next 20TB - US East (Northern Virginia),2025-05-01,30720,51200,GB,0.0750000000,USD,85NYBRRPURC8EH9H,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Delivered Logs,Log delivered from AWS services to log destinations other than CloudWatch,USE1-S3-Egress-Bytes,,,,,Amazon S3,us-east-1,AmazonCloudWatch,,,Current
9WYME8VRJX5XNNG9,JRTCKXETXF,9WYME8VRJX5XNNG9.JRTCKXETXF.AQTKZ3QBDA,OnDemand,$0.05 per GB of log data delivered to S3 over 50TB - US East (Northern Virginia),2025-05-01,51200,Inf,GB,0.0500000000,USD,85NYBRRPURC8EH9H,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Delivered Logs,Log delivered from AWS services to log destinations other than CloudWatch,USE1-S3-Egress-Bytes,,,,,Amazon S3,us-east-1,AmazonCloudWatch,,,Current
AHVP2TNT4Z5GXZT5,A429C66SYZ,AHVP2TNT4Z5GXZT5.A429C66SYZ.9Z9AWBMD7T,OnDemand,Global,2025-05-01,0,7300,hours,0.0000000000,USD,,CloudWatch Network Flow Monitor,AmazonCloudWatch,Any,AWS Region,,CW-NFM-Free,CloudWatch Network Flow Monitor - Free Tier,Global-CW:NFM-ResourceHours,PutResourceHours,,,,,,AmazonCloudWatch,,,
AQD7J354DJ73FAZG,JRTCKXETXF,AQD7J354DJ73FAZG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.74 per 10,000 city-networks monitored by Internet Monitor per hour in US East (N. Virginia),2025-05-01,0,Inf,Internet Monitor - City-Network,0.0000740000,USD,XJRVR4FW7FBFM5Z4,,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-CityNetwork,CloudWatch City Network,USE1-CW:InternetMonitor-CityNetwork,putCityNetwork,,,,,us-east-1,AmazonCloudWatch,,,
BM5SRHYF8FK5CUW9,JRTCKXETXF,BM5SRHYF8FK5CUW9.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD0.003125 per ACU-Hour monitored by Database Insights for Aurora PostgreSQL serverless databases,2025-05-01,0,Inf,ACU-Hours,0.0031250000,USD,,CloudWatch Database Insights,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-DatabaseInsights,Granular database and SQL query metrics in a curated observability experience for Amazon Aurora and RDS databases,USE1-CW:DatabaseInsights-ACU-Hours,Aurora-PostgreSQL:Serverless,,Aurora-PostgreSQL,Serverless,,us-east-1,AmazonCloudWatch,,,
