SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,usageType,operation,Charge Type,Instance Size,OS Type,Package Type,Provisioning Type,Region Code,serviceName,Storage Type,Tier
V3F6GZHNRDWF7WT8,JRTCKXETXF,V3F6GZHNRDWF7WT8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0088 per minute for Compute 8 vCPU 16 GB Linux Arm64 Pre-Provisioned Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0088000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Linux-Arm64-Provisioned-Usage-Billed,,Billed,8vCPU,Linux-ARM64,,Pre-Provisioned,us-east-1,CodeCatalyst,,
V6276JJHDUU27VUP,JRTCKXETXF,V6276JJHDUU27VUP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 4 vCPU  8 GB Linux x86_64 On-Demand Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Linux-On-Demand-Usage-Included,,Included,4vCPU,Linux,,On-Demand,us-east-1,CodeCatalyst,,
VABC5R2VB6YNMTK9,JRTCKXETXF,VABC5R2VB6YNMTK9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per Gigabyte for Storage - Packages - Included in US East (N. Virginia),2023-11-01,0,Inf,Gigabyte,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Storage-Package-Included,,Included,,,,,us-east-1,CodeCatalyst,Package,
VFRHF3KZ86A72EZR,JRTCKXETXF,VFRHF3KZ86A72EZR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0022 per minute for Compute 2 vCPU 4 GB Linux Arm64 Pre-Provisioned Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0022000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-Arm64-Provisioned-Usage-Billed,,Billed,2vCPU,Linux-ARM64,,Pre-Provisioned,us-east-1,CodeCatalyst,,
VGPP2CYBVPX2PSBS,JRTCKXETXF,VGPP2CYBVPX2PSBS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per hour for Dev Environment 4 vCPU 8 GB Linux On-Demand Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,C5TCPUZKFPJYV8WS,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Dev-Environment-On-Demand-Usage-Included,,Included,4vCPU,Dev-Environment,,On-Demand,us-east-1,CodeCatalyst,,
VPYZNC2BVYJGGP3J,A429C66SYZ,VPYZNC2BVYJGGP3J.A429C66SYZ.C2QCTD4VXQ,OnDemand,Global rate for Package-Storage,2023-11-01,0,500,Gigabyte,0.0000000000,USD,,,CodeCatalyst,Any,AWS Region,Global-Package-Storage,,,,,,,,CodeCatalyst,Package,
VV7RT9BT2US5FN8U,JRTCKXETXF,VV7RT9BT2US5FN8U.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0216 per minute for Compute 8 vCPU 16 GB Windows Pre-Provisioned Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0216000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Windows-Provisioned-Usage-Billed,,Billed,8vCPU,Windows,,Pre-Provisioned,us-east-1,CodeCatalyst,,
VZJP2KTQ24UZ2VJC,JRTCKXETXF,VZJP2KTQ24UZ2VJC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 4 vCPU 8 GB Linux Arm64 On-Demand Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Linux-Arm64-On-Demand-Usage-Included,,Included,4vCPU,Linux-ARM64,,On-Demand,us-east-1,CodeCatalyst,,
W4GTB66FPG8REQZG,JRTCKXETXF,W4GTB66FPG8REQZG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 8 vCPU 16 GB Windows Pre-Provisioned Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Windows-Provisioned-Usage-Included,,Included,8vCPU,Windows,,Pre-Provisioned,us-east-1,CodeCatalyst,,
WCY4HCP3YNXB9NF4,JRTCKXETXF,WCY4HCP3YNXB9NF4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.006 per Minutes for Compute-4vCPU-Linux-Provisioned-Usage in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0060000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Linux-Provisioned-Usage,,,4vCPU,Linux,,Pre-Provisioned,us-east-1,CodeCatalyst,,
XB9GY6PYHPHN8JM3,JRTCKXETXF,XB9GY6PYHPHN8JM3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 2 vCPU 4 GB Linux x86_64 Pre-Provisioned Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-Provisioned-Usage-Included,,Included,2vCPU,Linux,,Pre-Provisioned,us-east-1,CodeCatalyst,,
XWEDNA5B7TEZZCKE,JRTCKXETXF,XWEDNA5B7TEZZCKE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0044 per minutes for Compute-4vCPU-Linux-Arm64-Provisioned-Usage in US East (N. Virginia),2023-11-01,0,Inf,minutes,0.0044000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Linux-Arm64-Provisioned-Usage,,,4vCPU,Linux-ARM64,,Pre-Provisioned,us-east-1,CodeCatalyst,,
Y22V6PYTDANT5Q5G,JRTCKXETXF,Y22V6PYTDANT5Q5G.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per minute for Compute 4 vCPU  8 GB Linux x86_64 On-Demand Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0100000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Linux-On-Demand-Usage-Billed,,Billed,4vCPU,Linux,,On-Demand,us-east-1,CodeCatalyst,,
YV7Y4DCM4DQB26EV,JRTCKXETXF,YV7Y4DCM4DQB26EV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0034 per minutes for Compute-2vCPU-Linux-Arm64-Usage in US East (N. Virginia),2023-11-01,0,Inf,minutes,0.0034000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-Arm64-Usage,,,2vCPU,Linux-ARM64,,On-Demand,us-east-1,CodeCatalyst,,
YW7J6TDXJD62MW45,JRTCKXETXF,YW7J6TDXJD62MW45.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 4 vCPU 8 GB Windows Pre-Provisioned Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Windows-Provisioned-Usage-Included,,Included,4vCPU,Windows,,Pre-Provisioned,us-east-1,CodeCatalyst,,
